VCD info: dumpfile test.vcd opened for output.
input =  0, output =  0
input =  1, output =  1
input =  2, output =  3
input =  3, output =  2
input =  4, output =  6
input =  5, output =  7
input =  6, output =  5
input =  7, output =  4
input =  8, output = 12
input =  9, output = 13
input = 10, output = 15
input = 11, output = 14
input = 12, output = 10
input = 13, output = 11
input = 14, output =  9
input = 15, output =  8
