VCD info: dumpfile test.vcd opened for output.
input =  0, output = 0
input =  1, output = 0
input =  2, output = 0
input =  3, output = 0
input =  4, output = 0
input =  5, output = 1
input =  6, output = 1
input =  7, output = 1
input =  8, output = 1
input =  9, output = 1
input = 10, output = 2
input = 11, output = 2
input = 12, output = 2
input = 13, output = 2
input = 14, output = 2
input = 15, output = 3
