VCD info: dumpfile test.vcd opened for output.
input =  0, output = 0
input =  1, output = 0
input =  2, output = 1
input =  3, output = 1
input =  4, output = 0
input =  5, output = 1
input =  6, output = 0
input =  7, output = 1
input =  8, output = 0
input =  9, output = 0
input = 10, output = 0
input = 11, output = 1
input = 12, output = 0
input = 13, output = 1
input = 14, output = 0
input = 15, output = 0
